param_C,param_gamma,param_kernel,mean_train_accuracy,mean_test_accuracy,mean_train_loss,mean_test_loss
10,auto,rbf,0.6820269700800674,0.6230088495575222,0.3179730299199326,0.3769911504424778
100,auto,rbf,0.7248630425621576,0.6229245680573114,0.2751369574378424,0.37707543194268855
10,scale,rbf,0.7082385166455962,0.6228402865571007,0.29176148335440377,0.37715971344289934
1,scale,rbf,0.6597555836493889,0.6201432785503581,0.3402444163506111,0.3798567214496419
10,auto,poly,0.676401179941003,0.6188790560471976,0.323598820058997,0.3811209439528024
1,scale,poly,0.6710071639275179,0.6184576485461442,0.3289928360724821,0.38154235145385584
100,auto,poly,0.7153603034134007,0.618204804045512,0.28463969658659927,0.38179519595448796
1,auto,rbf,0.6392541087231353,0.6178676780446691,0.36074589127686474,0.38213232195533087
10,scale,poly,0.7086599241466498,0.6178676780446691,0.2913400758533502,0.38213232195533087
100,scale,rbf,0.7611040876527604,0.6151706700379267,0.23889591234723961,0.3848293299620733
100,scale,poly,0.749093973872735,0.6098609355246524,0.250906026127265,0.39013906447534763
1,auto,poly,0.6313948588284872,0.6002528445006321,0.3686051411715128,0.3997471554993679
1,scale,linear,0.6090602612726507,0.5992414664981036,0.39093973872734933,0.4007585335018964
1,auto,linear,0.6090602612726507,0.5992414664981036,0.39093973872734933,0.4007585335018964
0.1,scale,rbf,0.6093131057732828,0.5988200589970502,0.3906868942267172,0.40117994100294985
10,scale,linear,0.6097766540244416,0.5986514959966287,0.3902233459755584,0.4013485040033713
10,auto,linear,0.6097766540244416,0.5986514959966287,0.3902233459755584,0.4013485040033713
100,scale,linear,0.6100505689001264,0.5983986514959966,0.38994943109987357,0.4016013485040034
100,auto,linear,0.6100505689001264,0.5983986514959966,0.38994943109987357,0.4016013485040034
0.1,auto,linear,0.606510745891277,0.5967973029919933,0.39348925410872304,0.4032026970080067
0.1,scale,linear,0.606510745891277,0.5967973029919933,0.39348925410872304,0.4032026970080067
0.1,scale,poly,0.6231142014327855,0.5947745469869364,0.3768857985672145,0.40522545301306356
0.1,auto,rbf,0.6024652338811631,0.594605983986515,0.39753476611883687,0.405394016013485
0.1,auto,poly,0.44079224610198064,0.4265486725663717,0.5592077538980194,0.5734513274336284
